,Symbol,GeneID,Alias,Description,mutADAR WT mock 1,mutADAR WT mock 2,mutADAR WT mock 3,mutADAR ZBP1ko mock 1,mutADAR ZBP1ko mock 2,mutADAR ZBP1ko mock 3,baseMean,log2FoldChange,pvalue,padj
IL6RA,IL6RA,16194,CD126|IL-6R|IL-6R-alpha|IL-6RA|Il6r,interleukin 6 receptor_ alpha,6.539919901,6.411714046,6.22016872,5.613484939,6.09424245,6.482144619,74.90269794,-2.335286478,0.015308712,0.030621396
IL7,IL7,16196,A630026I06Rik|Il-7|hlb368,interleukin 7,5.444762668,5.490665387,5.562274697,5.902991557,6.219773332,7.145109632,62.29003792,0,1,1
IL9,IL9,16198,Il-9|P40,interleukin 9,2.859800167,3.089785951,4.070421601,3.443559938,3.857203253,2.897182119,10.33637806,0,1,1
IRF1,IRF1,16362,AU020929|Irf-1,interferon regulatory factor 1,10.35201753,10.2805366,10.25281595,9.420839861,9.297775844,9.678541832,942.5473407,-0.971317245,0.000307192,0.003455671
IRF3,IRF3,54131,C920001K05Rik|IRF-3,interferon regulatory factor 3,4.826633303,4.54921757,5.318349114,5.967121894,5.634810832,7.897182119,51.94402145,0,1,1
IRF5,IRF5,27056,AW491843|mirf5,interferon regulatory factor 5,7.48251759,7.577625985,7.240346602,6.19844744,6.259301697,6.356613737,115.5581745,-2.693022247,0.004778563,0.014351235
IRF7,IRF7,54123,-,interferon regulatory factor 7,9.052317159,8.959379794,9.061943447,7.951354578,7.920213051,7.897182119,355.5063924,-1.613588341,0.000523531,0.004074489
ITGB2,ITGB2,16414,2E6|AI528527|Cd18|LAD|LCAMB|Lfa1|MF17,integrin beta 2,3.207723471,3.411714046,3.655384101,3.765488033,4.049848331,4.897182119,14.23354728,0,1,1
JUN,JUN,16476,AP-1|Junc|c-jun,jun proto-oncogene,10.8386406,10.93409941,10.54817987,10.93941496,10.98501338,11.11635064,1902.415261,0.18834412,0.2304723,0.278992784
KEAP1,KEAP1,50868,INRF2|mKIAA0132,kelch-like ECH-associated protein 1,9.015998186,9.041799116,9.050561178,8.662728458,8.700900022,8.804072714,470.9216628,-0.565859849,0.030270174,0.051192206
KNG1,KNG1,16644,Kng,kininogen 1,3.892221645,3.972429,3.655384101,4.25091486,3.049848331,3.897182119,13.79745246,0,1,1
LIMK1,LIMK1,16885,KIZ-1|LIMK-1|Limk,LIM-domain containing_ protein kinase,8.230091284,8.305318951,8.199704618,7.852950874,7.980585669,7.98464496,272.8976307,-0.78445452,0.003312246,0.011078378
LTA,LTA,16992,LT|LT-[a]|LT-alpha|LT[a]|LTalpha|Ltx|TNF-beta|TNFSF1|Tnfb|Tnfsf1b|hlb382,lymphotoxin A,1.985331049,2.337713464,1.655384101,1.443559938,2.634810832,4.482144619,5.363435247,0,1,1
LTB,LTB,16994,AI662801|LTbeta|Tnfc|Tnfsf3|p33,lymphotoxin B,3.207723471,3.043982261,4.318349114,3.443559938,3.634810832,3.897182119,12.04977767,0,1,1
LTB4R1,LTB4R1,16995,BLT1|BLTR|Ltb4r|mBLTR,leukotriene B4 receptor 1,3.892221645,3.790225669,3.770861319,4.25091486,4.049848331,5.219110214,17.9038383,0,1,1
LTB4R2,LTB4R2,57260,5830462O07Rik|BLT2|LTB4-R 2|LTB4-R-2|LTB4-R2,leukotriene B4 receptor 2,3.044224738,3.447337956,3.240346602,3.028522439,4.219773332,4.897182119,12.52059482,0,1,1
LY96,LY96,17087,ESOP-1|MD-2|MD2,lymphocyte antigen 96,8.230091284,8.173265278,8.157884442,8.374297276,8.126663928,7.98464496,288.909639,-0.397923478,0.075125179,0.105358482
MAFF,MAFF,17133,-,v-maf musculoaponeurotic fibrosarcoma oncogene family_ protein F (avian),8.46106448,8.667214779,8.48404953,8.593307057,8.450727767,8.779825168,380.7494468,-0.192454434,0.267477631,0.313876812
MAFG,MAFG,17134,AA545192|C630022N07Rik,v-maf musculoaponeurotic fibrosarcoma oncogene family_ protein G (avian),8.322209486,8.197003026,8.260246159,8.374297276,8.072216144,8.356613737,307.3554602,-0.336691448,0.07144399,0.104000745
MAFK,MAFK,17135,AW061068|NF-E2|Nfe2u,v-maf musculoaponeurotic fibrosarcoma oncogene family_ protein K (avian),7.872043763,7.943095506,7.851781314,7.869824693,7.791315317,8.106635484,239.815763,-0.429335882,0.014620596,0.030570336
MAP2K1,MAP2K1,26395,MAPKK1|MEKK1|Mek1|Prkmk1,mitogen-activated protein kinase kinase 1,11.51427346,11.53609388,11.57424734,11.54422228,11.49279183,11.40100786,2917.34328,-0.096990672,0.180795282,0.223564059
MAP2K4,MAP2K4,26398,JNKK1|MEK4|MKK4|PRKMK4|Sek1|Serk1,mitogen-activated protein kinase kinase 4,11.03427196,11.1319583,10.8688934,11.08561163,11.14128372,10.91399041,2090.069068,-0.010315056,0.938726166,0.946960606
MAP2K6,MAP2K6,26399,MEK6|MKK6|Prkmk6|SAPKK3,mitogen-activated protein kinase kinase 6,6.466457739,5.890685851,7.230292937,6.028522439,5.50927995,6.482144619,77.05930428,0,1,1
MAP3K1,MAP3K1,26401,MAPKKK1|MEKK1|Mekk,mitogen-activated protein kinase kinase kinase 1,7.118044972,7.264711633,7.609580412,7.19844744,7.09424245,7.597621837,159.0983199,-0.865982652,0.004059458,0.012617234
MAP3K5,MAP3K5,26408,7420452D20Rik|ASK|ASK1|MAPKKK5|Mekk5,mitogen-activated protein kinase kinase kinase 5,5.638773288,5.289458296,5.427973605,5.25091486,5.693704521,6.482144619,49.53906948,0,1,1
MAP3K7,MAP3K7,26409,B430101B05|C87327|Tak1,mitogen-activated protein kinase kinase kinase 7,11.57045008,11.66674262,11.44274256,11.79339403,11.71518425,11.70775375,3212.270971,0.151592416,0.204888393,0.250661332
MAP3K9,MAP3K9,338372,E130314H24Rik|Mlk1|Prke1,mitogen-activated protein kinase kinase kinase 9,2.648296062,2.089785951,2.070421601,3.028522439,3.049848331,4.482144619,7.437596596,0,1,1
MAPK1,MAPK1,26413,9030612K14Rik|AA407128|AU018647|C78273|ERK|Erk2|MAPK2|PRKM2|Prkm1|p41mapk|p42mapk,mitogen-activated protein kinase 1,10.46713048,10.45008438,10.21889818,10.34140539,10.391923,9.827919456,1245.831709,-0.257592321,0.151313497,0.196714621
MAPK14,MAPK14,26416,CSBP2|Crk1|Csbp1|Mxi2|PRKM14|PRKM15|p38|p38-alpha|p38MAPK|p38a|p38alpha,mitogen-activated protein kinase 14,10.44271193,10.53324756,10.29200872,10.09101836,10.22477401,9.691597985,1186.552124,-0.503882218,0.001873122,0.008284961
MAPK3,MAPK3,26417,Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk,mitogen-activated protein kinase 3,10.21735217,10.13076055,10.6230907,10.25413157,10.19450657,10.12600081,1224.214288,-0.221463111,0.027305114,0.046866987
MAPK8,MAPK8,26419,AI849689|JNK|JNK1|Prkm8|SAPK1,mitogen-activated protein kinase 8,9.687503735,9.650118785,9.674047946,9.801111943,9.627277159,9.963271309,851.5152039,0.023487427,0.816345821,0.843645245
MAPKAPK2,MAPKAPK2,17164,AA960234|MAPKAP-K2|MK-2|MK2|Rps6kc1,MAP kinase-activated protein kinase 2,11.15002851,11.30940827,10.99077446,11.34442675,11.28705829,11.40497676,2431.749386,0.161075839,0.053735551,0.082394512
MAPKAPK5,MAPKAPK5,17165,MK5|PRAK,MAP kinase-activated protein kinase 5,4.444762668,4.356572492,5.070421601,4.902991557,4.634810832,5.704537041,28.88701775,0,1,1
MASP1,MASP1,17174,AW048060|CCPII|Crarf|Masp1/3,mannan-binding lectin serine peptidase 1,9.494446234,9.723235326,9.401338479,10.27961029,10.13731117,10.18258434,935.6040567,0.58169034,0.015856023,0.030905807
MASP2,MASP2,17175,MASP-2|MAp19,mannan-binding lectin serine peptidase 2,2.792685971,2.54921757,3.529853219,3.765488033,3.634810832,4.482144619,10.99696396,0,1,1
MAX,MAX,17187,AA960152|AI875693|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8,Max protein,9.058580031,9.11076589,8.85832416,9.320076885,9.311943176,9.511891963,586.2059024,0.235595228,0.01845271,0.0342268
MBL2,MBL2,17195,L-MBP|MBL|MBL-C|MBP-C,mannose-binding lectin (protein C) 2,0.400368549,1.411714046,2.392349695,1.443559938,2.634810832,5.482144619,4.904676376,0,1,1
MEF2A,MEF2A,17258,A430079H05Rik,myocyte enhancer factor 2A,7.607382869,7.526497493,7.570267488,7.443559938,7.278667022,7.289499541,175.1741062,-1.055071382,0.059010074,0.088131929
MEF2B,MEF2B,17259,AI451606,myocyte enhancer factor 2B,2.48783139,2.790225669,3.877776523,3.765488033,4.049848331,2.897182119,9.927235455,0,1,1
MEF2C_MM,MEF2C_MM,NA,NA,NA,4.48783139,4.155875141,5.11481572,3.765488033,4.049848331,5.482144619,22.77428526,0,1,1
MEF2D,MEF2D,17261,C80750,myocyte enhancer factor 2D,8.663637749,8.78065696,8.855056446,9.028522439,8.956738927,9.420744075,494.8655375,0.212526995,0.081492604,0.112911439
MKNK1,MKNK1,17346,2410048M24Rik|Mnk1,MAP kinase-interacting serine/threonine kinase 1,8.369035342,8.236990876,8.289590121,7.99814879,8.407400336,8.254734123,306.4093684,-0.435819061,0.005084258,0.014617241
MMP3,MMP3,17392,EMS-2|MMP-3|SL-1|SLN-1|SLN1|STR-1|Stmy1|Str1,matrix metallopeptidase 3,4.128289003,3.817706405,4.462739023,4.902991557,3.857203253,5.219110214,21.08297532,0,1,1
MMP9,MMP9,17395,AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9,matrix metallopeptidase 9,6.735758903,6.722781148,6.699778221,3.765488033,3.857203253,5.482144619,46.65174141,-6.538929622,0.000744047,0.004376163
MRC1,MRC1,17533,AW259686|CD206|MR,mannose receptor_ C type 1,2.722296643,2.613347907,3.070421601,4.028522439,3.049848331,5.482144619,11.27011441,0,1,1
MX1,MX1,17857,AI893580|Mx|Mx-1,MX dynamin-like GTPase 1,7.319231786,7.0954105,7.427973605,6.487954057,6.442165754,7.219110214,127.8794812,-2.08246216,0.000345794,0.003455671
MX2,MX2,17858,AI528743|Mx-2,MX dynamin-like GTPase 2,7.906180102,8.119073178,8.284740721,6.143999656,6.137311172,6.804072714,150.3898013,0,1,1
MYC,MYC,17869,AU016757|Myc2|Niard|Nird|bHLHe39,myelocytomatosis oncogene,12.3076348,12.52851284,11.96788894,12.17826956,12.1687894,12.17330652,4773.175534,-0.13317624,0.319422198,0.371045988
MYD88,MYD88,17874,-,myeloid differentiation primary response gene 88,9.62497323,9.502355798,9.661008651,9.662728458,9.653474676,9.779825168,801.9643694,-0.013594404,0.821637108,0.843645245
MYL2,MYL2,17906,MLC-2|MLC-2v|Mlc2v|Mylpc,myosin_ light polypeptide 2_ regulatory_ cardiac_ slow,3.57029355,3.844673453,3.655384101,4.028522439,2.634810832,5.704537041,14.99459069,0,1,1
NFATC3,NFATC3,18021,C80703|D8Ertd281e|NFAT4|NFATx,nuclear factor of activated T cells_ cytoplasmic_ calcineurin dependent 3,10.21374894,10.26876196,9.962205304,10.20511117,10.09150748,10.18258434,1139.343087,-0.072946379,0.4843063,0.540730335
NFE2L2,NFE2L2,18024,Nrf2,nuclear factor_ erythroid derived 2_ like 2,11.46881096,11.3354872,11.19065948,11.05458474,10.94163203,10.94703067,2282.449955,-0.402879536,0.021932948,0.039410766
NFKB1,NFKB1,18033,NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105,nuclear factor of kappa light polypeptide gene enhancer in B cells 1_ p105,10.89772144,10.95880137,10.62884231,10.96516038,10.78625026,10.73007213,1817.586089,-0.057283058,0.668282595,0.711597208
NLRP3,NLRP3,216799,AGTAVPRL|AII/AVP|Cias1|FCAS|FCU|MWS|Mmig1|NALP3|Pypaf1,NLR family_ pyrin domain containing 3,3.529651566,3.704495795,4.392349695,1.443559938,4.049848331,3.897182119,11.33606403,0,1,1
NOD1,NOD1,107607,C230079P11|Card4|F830007N14Rik|Nlrc1,nucleotide-binding oligomerization domain containing 1,6.46106448,6.528577803,6.462739023,5.835877361,4.956738927,7.420744075,77.58057758,0,1,1
NOD2,NOD2,257632,ACUG|BLAU|CD|Card15|F830032C23Rik|IBD1|Nlrc2,nucleotide-binding oligomerization domain containing 2,4.100808267,4.356572492,4.392349695,4.028522439,5.137311172,5.482144619,23.96656836,0,1,1
NOS2,NOS2,378430,nos2|Nanos2,nanos homolog 2 (Drosophila),4.155256051,3.947766946,5.070421601,5.967121894,4.371776426,6.897182119,33.55030956,0,1,1
NOX1,NOX1,237038,GP91-2|MOX1|NOH-1|NOH1|NOX1a|NOX1alpha|Nox-1,NADPH oxidase 1,2.100808267,2.733642141,4.240346602,3.765488033,3.634810832,4.482144619,11.25795917,0,1,1
NR3C1,NR3C1,14815,GR|Grl-1|Grl1,nuclear receptor subfamily 3_ group C_ member 1,10.67007967,10.76199027,10.57524059,10.49884237,10.47401462,10.5553936,1540.582458,-0.226103316,0.057622798,0.087192392
OAS1A,OAS1A,246730,L3,2'-5' oligoadenylate synthetase 1A,10.29518631,10.18386364,10.07744887,9.546847746,9.389698334,9.126000809,873.0018803,-0.986733745,0.011207051,0.026950878
OAS2,OAS2,246728,Oasl11,2'-5' oligoadenylate synthetase 2,5.749096703,5.507638466,6.001158938,4.902991557,4.634810832,5.219110214,40.38649719,0,1,1
OASL1,OASL1,231655,7530414C13Rik|oasl9,2'-5' oligoadenylate synthetase-like 1,8.713251504,8.880134448,8.710666537,8.818599369,8.664558175,8.98464496,444.2750045,-0.167944637,0.541271704,0.59282139
PDGFA,PDGFA,18590,-,platelet derived growth factor_ alpha,10.16524014,10.30349775,9.890600563,10.7220094,10.72050458,10.74893116,1374.9187,0.549974827,0.003707609,0.011843752
PIK3C2G,PIK3C2G,18705,C80387|PI3K-C2-gamma,phosphatidylinositol 3-kinase_ C2 domain containing_ gamma polypeptide,2.48783139,2.259710952,3.240346602,3.028522439,2.634810832,4.482144619,8.124211542,0,1,1
PLA2G4A,PLA2G4A,18783,Pla2g4|cPLA2|cPLA2-alpha|cPLA2alpha,phospholipase A2_ group IVA (cytosolic_ calcium-dependent),9.857749428,9.89955408,9.765649892,10.34442675,10.38300368,10.3809979,1101.482063,0.460492814,0.016145594,0.030945721
PLCB1,PLCB1,18795,3110043I21Rik|AI132408|Plcb|mKIAA0581,phospholipase C_ beta 1,6.239572337,6.182543092,6.513365096,6.350450534,6.004044641,5.482144619,69.97107346,-1.495410916,0.152240011,0.196714621
PPP1R12B,PPP1R12B,329251,1810037O03Rik|9530009M10Rik|AI132431|Mypt2,protein phosphatase 1_ regulatory (inhibitor) subunit 12B,6.439287538,6.379804798,6.427973605,5.902991557,5.804735833,6.356613737,74.46898788,-2.430350555,0.000174725,0.003455671
PRKCA,PRKCA,18750,AI875142|Pkca,protein kinase C_ alpha,9.498400632,9.525976946,9.240346602,9.013415546,9.179131348,9.219110214,621.4079469,-0.471839096,0.014909562,0.03061785
PRKCB,PRKCB,18751,A130082F03Rik|PKC-Beta|Pkcb|Prkcb1|Prkcb2,protein kinase C_ beta,4.207723471,4.23953307,4.71427779,4.25091486,4.50927995,6.219110214,25.81503936,0,1,1
PTGER1,PTGER1,19216,42kDa|EP1|Ptgerep1,prostaglandin E receptor 1 (subtype EP1),4.809759485,4.565519382,4.318349114,4.443559938,3.371776426,4.897182119,21.12712293,0,1,1
PTGER2,PTGER2,19217,EP2|Ptgerep2,prostaglandin E receptor 2 (subtype EP2),1.985331049,2.177248792,3.240346602,4.443559938,3.634810832,5.897182119,11.81935898,0,1,1
PTGER3,PTGER3,19218,EP3|Pgerep3|Ptgerep3,prostaglandin E receptor 3 (subtype EP3),3.792685971,3.581639047,3.392349695,3.028522439,3.857203253,5.704537041,14.85444613,0,1,1
PTGER4,PTGER4,19219,EP4|Ptgerep4,prostaglandin E receptor 4 (subtype EP4),6.884184326,6.605485789,6.513365096,6.653013304,6.634810832,7.482144619,111.0834948,-0.853330351,0.020355473,0.037156816
PTGFR,PTGFR,19220,AI957154|PGF|fp,prostaglandin F receptor,5.87610198,5.27961051,6.092789414,4.25091486,5.371776426,6.06710712,44.93341221,0,1,1
PTGIR,PTGIR,19222,IP|PGI2,prostaglandin I receptor (IP),4.044224738,3.897140873,3.977312196,4.443559938,4.049848331,4.897182119,18.61264736,0,1,1
PTGS1,PTGS1,19224,COX1|Cox-1|Cox-3|PGHS-1|PHS 1|Pghs1,prostaglandin-endoperoxide synthase 1,6.935643925,6.762211293,6.838605925,6.25091486,6.09424245,6.597621837,95.66195577,-2.142180011,0.00486694,0.014351235
PTGS2,PTGS2,19225,COX2|Cox-2|PES-2|PGHS-2|PHS II|PHS-2|Pghs2|TIS10|gripghs,prostaglandin-endoperoxide synthase 2,13.1314754,13.29699097,12.7829486,14.63384762,14.54670211,14.4178008,14279.20049,1.446875482,0.000187424,0.003455671
PTK2,PTK2,14083,FAK|FRNK|Fadk|mKIAA4203|p125FAK,PTK2 protein tyrosine kinase 2,11.40984729,11.47483944,11.26333082,11.2314625,11.29302231,11.24591027,2556.112183,-0.165449231,0.024512003,0.04336739
RAC1,RAC1,19353,AL023026|D5Ertd559e,RAS-related C3 botulinum substrate 1,13.20167273,13.2765966,13.04537387,13.17190565,13.10037724,13.14392272,9131.533665,-0.046134488,0.518057183,0.572851693
RAF1,RAF1,110157,6430402F14Rik|AA990557|BB129353|Craf1|D830050J10Rik|Raf-1|c-Raf|v-Raf,v-raf-leukemia viral oncogene 1,10.67823709,10.69433918,10.58907476,10.67478112,10.7537519,10.61142764,1625.801357,-0.034444595,0.703160521,0.741866605
RAPGEF2,RAPGEF2,76089,5830453M24Rik|CNRasGEF|Pdzgef1|RA-GEF-1|mKIAA0313|nRapGEP,Rap guanine nucleotide exchange factor (GEF) 2,9.615901548,9.698040773,9.443286661,10.20511117,10.22227584,10.228099,956.8302329,0.556139666,0.007603301,0.019872263
RELA,RELA,19697,p65,v-rel reticuloendotheliosis viral oncogene homolog A (avian),10.78028837,10.82703329,10.63170955,10.76998943,10.74507662,10.72373061,1717.750328,-0.056583969,0.554868691,0.601980184
RELB,RELB,19698,shep,avian reticuloendotheliosis viral (v-rel) oncogene related B,10.56307457,10.51683684,10.1932496,10.04347278,10.04984833,9.908409374,1186.4881,-0.53125541,0.00337168,0.011078378
RETNLA,RETNLA,57262,1810019L16Rik|Fizz-1|Fizz1|HIMF|RELM-alpha|RELMa|RELMalpha|Xcp2,resistin like alpha,3.100808267,2.674748452,3.392349695,4.25091486,3.634810832,4.482144619,12.03610023,0,1,1
RHOA,RHOA,11848,Arha|Arha1|Arha2,ras homolog gene family_ member A,13.66058979,13.58073082,13.8185096,13.86772623,13.75914758,13.98795617,14058.06131,0.178591316,0.158641002,0.201078456
RIPK1,RIPK1,19766,D330015H01Rik|RIP|Rinp|Rip1,receptor (TNFRSF)-interacting serine-threonine kinase 1,8.697284755,8.79282434,8.597898607,8.301540933,8.517453881,8.779825168,391.9351844,-0.439891432,0.006529589,0.017462853
RIPK2,RIPK2,192656,2210420D18Rik|CARD3|CARDIAK|CCK|D4Bwg0615e|RICK|RIP2,receptor (TNFRSF)-interacting serine-threonine kinase 2,8.678818007,8.719142571,8.458438886,9.541592021,9.316634872,9.678541832,535.7915549,0.782525565,0.002684906,0.010248989
ROCK2,ROCK2,19878,B230113H15Rik|ROKalpha|Rho-kinase|Rock-II|Rock2m|mKIAA0619,Rho-associated coiled-coil containing protein kinase 2,10.0090854,10.24492041,9.81020221,10.32620299,10.34446908,10.41288196,1169.189995,0.271794456,0.016659939,0.031408081
RPS6KA5,RPS6KA5,73086,3110005L17Rik|6330404E13Rik|AI854034|MSK1|MSPK1|RLPK,ribosomal protein S6 kinase_ polypeptide 5,6.072793891,6.038153182,6.655384101,7.028522439,6.722273673,6.356613737,89.19907456,-0.291134941,0.652339271,0.701112301
SHC1,SHC1,20416,Shc|ShcA|p66|p66shc,src homology 2 domain-containing transforming protein C1,10.52319654,10.49039859,10.69613044,10.55469561,10.38747023,10.61828131,1494.066645,-0.114070032,0.118173121,0.15620585
SMAD7,SMAD7,17131,Madh7,SMAD family member 7,9.477184146,9.509746129,9.277435921,9.562501011,9.561600985,9.497094961,714.5678484,-0.018526596,0.889162726,0.904900119
STAT1,STAT1,20846,2010005J02Rik|AA408197,signal transducer and activator of transcription 1,10.78946207,10.78610151,10.63552368,9.719684343,9.791315317,9.27222155,1148.645642,-1.264282069,0.00266185,0.010248989
STAT2,STAT2,20847,1600010G07Rik|AW496480,signal transducer and activator of transcription 2,9.331105886,9.498646387,9.178946057,8.2637389,7.956738927,8.182584338,426.1724185,-1.630985384,0.002237856,0.009221679
STAT3,STAT3,20848,1110034C02Rik|AW109958|Aprf,signal transducer and activator of transcription 3,10.92857845,10.82914466,10.83030978,10.42655351,10.42488776,10.46703773,1608.037477,-0.496170683,0.002245278,0.009221679
TBXA2R,TBXA2R,21390,TP|TXA2-R,thromboxane A2 receptor,2.859800167,3.043982261,3.240346602,4.443559938,3.857203253,4.897182119,13.21110336,0,1,1
TCF4,TCF4,21413,5730422P05Rik|ASP-I2|E2-2|E2.2|ITF-2|ITF-2b|ITF2|ME2|MITF-2A|MITF-2B|SEF-2|SEF2|SEF2-1|TFE|Tcf-4|bHLHb19,transcription factor 4,11.41508648,11.27311118,11.38783421,11.07837099,11.02282812,11.16396866,2391.223512,-0.315326199,0.07491467,0.105358482
TGFB1,TGFB1,21803,TGF-beta1|TGFbeta1|Tgfb|Tgfb-1,transforming growth factor_ beta 1,10.06792366,10.04579903,9.855056446,10.00961398,10.04702781,9.839696624,1008.167467,-0.121540982,0.45957029,0.518142974
TGFB2,TGFB2,21808,BB105277|Tgf-beta2|Tgfb-2,transforming growth factor_ beta 2,9.836559544,10.0813078,9.748141242,9.164659127,9.224774014,9.306573055,755.0015502,-0.839535328,0.012026187,0.027090776
TGFB3,TGFB3,21809,TGF-beta-3|Tgfb-3,transforming growth factor_ beta 3,10.33369037,9.984982523,10.1932496,9.705654783,9.612090755,9.93060512,996.0300956,-0.540339509,0.049585973,0.079199818
TGFBR1,TGFBR1,21812,ALK5|AU017191|Alk-5|ESK2|TGFR-1|TbetaR-I|TbetaRI,transforming growth factor_ beta receptor I,9.214951014,9.198310408,8.977312196,9.437913375,9.459239267,9.555393601,633.4937798,0.218640286,0.254198765,0.304508937
TLR1,TLR1,21897,-,toll-like receptor 1,1.859800167,3.089785951,2.877776523,4.028522439,3.049848331,3.897182119,8.777555753,0,1,1
TLR2,TLR2,24088,Ly105,toll-like receptor 2,5.722296643,5.589631838,6.047701524,6.087416128,5.693704521,6.482144619,61.27171009,0,1,1
TLR3,TLR3,142980,AI957183,toll-like receptor 3,4.9549574,4.884201817,4.593983557,3.028522439,3.049848331,3.897182119,16.77354758,0,1,1
TLR4,TLR4,21898,Lps|Ly87|Ran/M1|Rasl2-8,toll-like receptor 4,7.466457739,7.429635954,7.059106287,6.728962157,7.004044641,7.145109632,140.9349943,-2.995077667,0.062742942,0.092505619
TLR5,TLR5,53791,-,toll-like receptor 5,4.48783139,4.482103374,3.977312196,3.765488033,3.857203253,5.482144619,20.28039449,0,1,1
TLR6,TLR6,21899,-,toll-like receptor 6,4.283011598,3.947766946,4.977312196,4.902991557,4.049848331,5.704537041,25.00673174,0,1,1
TLR7,TLR7,170743,-,toll-like receptor 7,2.57029355,2.337713464,4.070421601,4.25091486,3.371776426,5.704537041,13.15563964,0,1,1
TLR8,TLR8,170744,-,toll-like receptor 8,3.354564859,3.996676546,4.070421601,4.028522439,3.634810832,5.704537041,17.52799273,0,1,1
TLR9,TLR9,81897,-,toll-like receptor 9,2.985331049,3.482103374,3.529853219,4.443559938,3.049848331,4.482144619,12.65942601,0,1,1
TNF,TNF,21926,DIF|TNF-a|TNF-alpha|TNFSF2|TNFalpha|Tnfa|Tnfsf1a,tumor necrosis factor,3.400368549,3.613347907,4.157884442,3.028522439,3.371776426,3.897182119,11.94371974,0,1,1
TNFAIP3,TNFAIP3,21929,A20|Tnfip3,tumor necrosis factor_ alpha-induced protein 3,10.3106365,10.49386309,10.09556116,10.89477105,10.84912995,10.97399772,1555.317328,0.552975819,0.000248023,0.003455671
TNFSF14,TNFSF14,50930,HVEM-L|HVEML|LIGHT|LTg|Ly113,tumor necrosis factor (ligand) superfamily_ member 14,2.48783139,1.790225669,1.655384101,3.443559938,3.634810832,5.219110214,8.216289546,0,1,1
TOLLIP,TOLLIP,54473,4930403G24Rik|4931428G15Rik,toll interacting protein,10.25640495,10.37922853,10.27254542,10.48795406,10.64230537,10.50451243,1373.675121,0.180978887,0.266809786,0.313876812
TRADD,TRADD,71609,9130005N23Rik|AA930854,TNFRSF1A-associated via death domain,7.715518111,7.511850717,7.864837467,7.509649128,7.297775844,7.755163114,195.2437284,-0.85584299,0.008846406,0.022607482
TRAF2,TRAF2,22030,AI325259,TNF receptor-associated factor 2,9.271503733,9.184523456,9.334864201,9.101771421,9.05547288,9.106635484,578.348466,-0.374365171,0.011487359,0.026950878
TREM2,TREM2,83433,TREM-2|Trem2a|Trem2b|Trem2c,triggering receptor expressed on myeloid cells 2,2.57029355,2.733642141,2.392349695,3.765488033,2.634810832,4.897182119,8.973232101,0,1,1
TSLP,TSLP,53603,-,thymic stromal lymphopoietin,8.345812385,8.204829601,7.94078632,6.572842955,6.634810832,6.482144619,164.681854,-2.788337696,0.001791863,0.008242568
TWIST2,TWIST2,13345,Dermo1|bHLHa39,twist basic helix-loop-helix transcription factor 2,9.777579079,9.887447477,9.525748821,9.123040037,9.229757421,9.026465136,688.9902045,-0.79980712,0.000271574,0.003455671
TYROBP,TYROBP,22177,DAP12|KARAP|Ly83,TYRO protein tyrosine kinase binding protein,3.685770767,3.37518817,3.655384101,4.443559938,4.50927995,5.219110214,17.72911795,0,1,1
